bug_id,comment_num,has_str
1392659,0,y
1396635,0,y
1396635,1,n
1396635,2,n
1397241,0,y
1397737,0,y
1399388,0,y
1399400,0,y
1399559,0,y
1399651,0,y
1400165,0,y
1400556,0,y
1400604,0,y
1401224,0,y
1401943,0,y
1402244,0,y
1403166,0,y
1403750,0,y
1404497,0,y
1405696,0,y
1406414,0,y
1406509,0,y
1407748,0,y
1407983,6,n
1408613,0,y
1408834,0,y
1409634,0,n
1410028,0,y
1410225,0,y
1412213,0,y
1417014,0,y
1418814,0,y
1419173,0,y
1421240,0,y
1421805,0,y
1421805,1,n
1421805,2,n
1421805,3,n
1421805,4,n
1421805,5,n
1421805,6,n
1421805,7,n
1421805,8,n
1421805,9,n
1421805,10,n
1421805,11,n
1421805,12,n
1421805,13,n
1421805,14,n
1421805,15,n
1421805,16,n
1421805,17,n
1421805,18,n
1421805,19,n
1421805,20,n
1421805,21,n
1421805,22,n
1421805,23,n
1421805,24,n
1421805,25,n
1421805,26,n
1421805,28,n
1421805,29,n
1421805,30,n
1421805,31,n
1421805,32,n
1421805,33,n
1421805,34,n
1421805,35,n
1421905,0,y
1422215,0,y
1422478,0,y
1423810,0,y
1426081,0,y
1428174,0,y
1435451,0,y
1436311,0,y
1437310,1,y
1437832,0,y
1439285,0,y
1439857,0,y
1443224,0,y
1443583,10,n
1445207,0,y
1446445,0,y
1447052,0,y
1449887,0,y
1450248,0,y
1451683,0,y
1451688,0,y
1452392,0,y
1452673,0,y
1452819,0,y
1453718,0,y
1454572,0,y
1457039,0,y
1458615,0,y
1458866,0,y
1461635,0,y
1461881,0,y
1462906,0,y
1463694,1,n
1464365,0,y
1464365,1,n
1464789,0,y
1465616,117,n
1471935,0,y
1474284,0,y
1478754,0,y
1480934,0,y
1483148,0,y
1483593,0,n
1483865,6,n
1485178,0,y
1487263,0,y
1488105,0,y
1498940,0,y
1500427,0,y
1500427,1,n
1500427,2,y
1500427,3,n
1500427,4,n
